Device,Branch,Location,PLU,Timestamp
HH030098,1,255,884797971162,19/07/11 09:39
HH030311,1,213,732075939304,19/07/11 10:33
HH030101,1,230,886668546421,19/07/11 10:45
HH030163,1,244,538200134545,19/07/11 10:47
HH030217,1,382,220222859638,19/07/11 10:53
HH030280,1,378,501015868141,19/07/11 11:40
HH030437,1,375,281597863075,19/07/11 11:54
HH010136,1,905,747642747192,19/07/11 12:39
HH030041,1,344,730751356223,19/07/11 12:07
HH020114,1,368,501015863203,19/07/11 13:41
HH020115,1,368,501015863203,19/07/11 13:41
HH020281,1,364,501015862470,19/07/11 14:05
HH010047,1,783,2596703021025,19/07/11 13:06
HH010048,1,783,2596703021025,19/07/11 13:06
HH010049,1,783,2596703021025,19/07/11 13:06
HH010051,1,779,255830280036,19/07/11 13:07
HH010115,1,785,505150826589,19/07/11 13:15
HH010116,1,785,505150826589,19/07/11 13:15
HH010117,1,785,505150826589,19/07/11 13:15
HH010118,1,785,505150826589,19/07/11 13:15
HH010119,1,785,505150826589,19/07/11 13:15
HH010120,1,785,505150826589,19/07/11 13:15
HH010121,1,785,505150826589,19/07/11 13:15
HH010122,1,785,505150826589,19/07/11 13:15
HH010123,1,785,505150826589,19/07/11 13:15
HH010124,1,785,505150826589,19/07/11 13:15
HH010125,1,785,505150826589,19/07/11 13:15
HH010126,1,785,505150826589,19/07/11 13:16
HH010127,1,785,505150826589,19/07/11 13:16
HH010128,1,785,505150826589,19/07/11 13:16
HH010129,1,785,505150826589,19/07/11 13:16
HH010130,1,785,505150826589,19/07/11 13:16
HH010131,1,785,505150826589,19/07/11 13:16
HH010132,1,785,505150826589,19/07/11 13:16
HH010133,1,785,505150826589,19/07/11 13:16
HH010134,1,785,505150826589,19/07/11 13:16
HH010261,1,861,801634935481,19/07/11 15:17
HH010262,1,861,801634935481,19/07/11 15:17
HH010263,1,861,801634935481,19/07/11 15:19
HH03111,1,299,714925757554,19/07/11 12:57
HH03556,1,401,882801449567,19/07/11 13:36
HH03654,1,400,884499916222,19/07/11 13:42
HH03680,1,371,676552856527,19/07/11 13:45
HH030011,1,6,640135059735,19/07/11 14:51
HH030012,1,6,640135059735,19/07/11 14:51
HH030013,1,6,640135059735,19/07/11 14:51
HH030184,1,19,309181866656,19/07/11 15:07
HH030267,1,35,288145171521,19/07/11 15:15
HH030313,1,41,884498121870,19/07/11 15:21
HH030537,1,105,091205811232,19/07/11 16:21
HH030538,1,105,091205811232,19/07/11 16:21
HH030539,1,105,091205811232,19/07/11 16:21
HH030540,1,105,091205811232,19/07/11 16:21
HH030543,1,106,224151367403,19/07/11 16:21
HH030544,1,106,224151367403,19/07/11 16:21
HH010092,1,803,871745716968,19/07/11 16:08
HH010093,1,803,871745716968,19/07/11 16:08
HH020400,1,570,506020555142,19/07/11 16:38
HH020588,1,544,506020555010,19/07/11 17:46
HH020600,1,544,506020555010,19/07/11 17:47
HH020634,1,544,506020555731,19/07/11 17:51
HH010212,1,837,871745705323,19/07/11 17:53
HH020095,1,503,032546260679,19/07/11 18:16
HH030029,1,139,732075720155,19/07/11 17:10
HH030101,1,158,265260525987,19/07/11 17:24
HH030129,1,157,074546259888,19/07/11 17:27
