Device,Branch,Location,PLU,Timestamp
HH030001,1,257,5010158630436,19/07/11 09:41
HH030002,1,257,5010158630436,19/07/11 09:41
HH030003,1,257,5010158630429,19/07/11 09:41
HH030004,1,257,5010158630467,19/07/11 09:41
HH030005,1,257,5010158630450,19/07/11 09:41
HH030006,1,257,5010158630474,19/07/11 09:41
HH030007,1,257,5010158630474,19/07/11 09:41
HH030008,1,257,5010158630474,19/07/11 09:41
HH030009,1,257,5010158630474,19/07/11 09:41
HH030010,1,257,5010158630474,19/07/11 09:41
HH030011,1,257,5010158630467,19/07/11 09:41
HH030012,1,257,5010158630467,19/07/11 09:41
HH030013,1,257,5010158630467,19/07/11 09:41
HH030014,1,257,5010158630467,19/07/11 09:41
HH030015,1,257,5010158630467,19/07/11 09:41
HH030016,1,257,5010158630467,19/07/11 09:41
HH030017,1,257,5010158630436,19/07/11 09:41
HH030018,1,257,5010158630436,19/07/11 09:41
HH030019,1,257,5010158630412,19/07/11 09:41
HH030020,1,257,5010158630412,19/07/11 09:41
HH030021,1,257,5010158630412,19/07/11 09:41
HH030022,1,257,5010158630412,19/07/11 09:41
HH030023,1,257,5010158630450,19/07/11 09:41
HH030024,1,257,5010158630450,19/07/11 09:42
HH030025,1,257,5010158630450,19/07/11 09:42
HH030026,1,257,5010158630450,19/07/11 09:42
HH030027,1,257,5010158630450,19/07/11 09:42
HH030028,1,257,5010158630450,19/07/11 09:42
HH030029,1,257,5010158630450,19/07/11 09:42
HH030030,1,257,5010158630481,19/07/11 09:42
HH030031,1,257,5010158630443,19/07/11 09:42
HH030032,1,257,5010158630443,19/07/11 09:42
HH030033,1,257,5010158630474,19/07/11 09:42
HH030034,1,257,5010158630474,19/07/11 09:42
HH030035,1,257,5010158630474,19/07/11 09:42
HH030036,1,257,5010158630474,19/07/11 09:42
HH030037,1,257,5010158630474,19/07/11 09:42
HH030038,1,257,5010158630474,19/07/11 09:42
HH030039,1,257,5010158630474,19/07/11 09:42
HH030040,1,257,5010158630474,19/07/11 09:42
HH030041,1,257,5010158630474,19/07/11 09:42
HH030042,1,257,5010158630467,19/07/11 09:42
HH030043,1,257,5010158630467,19/07/11 09:42
HH030044,1,257,5010158630467,19/07/11 09:42
HH030045,1,257,5010158630467,19/07/11 09:42
HH030046,1,257,5010158630467,19/07/11 09:42
HH030047,1,257,5010158630467,19/07/11 09:42
HH030048,1,257,5010158630467,19/07/11 09:42
HH030049,1,258,5010158595858,19/07/11 09:43
HH030050,1,258,5010158595957,19/07/11 09:43
HH030051,1,258,5010158595841,19/07/11 09:43
HH030052,1,258,2090835000366,19/07/11 09:43
HH030053,1,258,5010158595827,19/07/11 09:43
HH030054,1,259,4050266418237,19/07/11 09:43
HH030055,1,259,4050266418220,19/07/11 09:44
HH030056,1,259,4050561162910,19/07/11 09:44
HH030057,1,259,4050561162989,19/07/11 09:44
HH030058,1,259,4050948866868,19/07/11 09:44
HH030059,1,259,4050948866851,19/07/11 09:44
HH030060,1,259,4050561159644,19/07/11 09:44
HH030061,1,260,4050948861948,19/07/11 09:45
HH030062,1,260,4050948861979,19/07/11 09:45
HH030063,1,260,4050948861955,19/07/11 09:45
HH030064,1,260,4050948861955,19/07/11 09:45
HH030065,1,260,4050948862020,19/07/11 09:45
HH030066,1,260,4050948862006,19/07/11 09:45
HH030067,1,260,4050948862044,19/07/11 09:45
HH030068,1,260,4050948844996,19/07/11 09:45
HH030069,1,260,4050948844996,19/07/11 09:45
HH030070,1,260,4050948844996,19/07/11 09:45
HH030071,1,260,2716702700367,19/07/11 09:45
HH030072,1,260,4050266417681,19/07/11 09:45
HH030073,1,260,4050948861887,19/07/11 09:45
HH030074,1,260,4050948861900,19/07/11 09:45
HH030075,1,260,4050948861887,19/07/11 09:45
HH030076,1,260,4050948861894,19/07/11 09:45
HH030077,1,261,4050948870285,19/07/11 09:46
HH030078,1,261,4050948857590,19/07/11 09:46
HH030079,1,261,4050948857590,19/07/11 09:46
HH030080,1,261,4050948857590,19/07/11 09:46
HH030081,1,261,4050948857590,19/07/11 09:47
HH030082,1,261,4050948857590,19/07/11 09:47
HH030083,1,261,4050948857583,19/07/11 09:47
HH030084,1,261,4050948857583,19/07/11 09:47
HH030085,1,262,4050948867414,19/07/11 09:47
HH030086,1,262,4050948867438,19/07/11 09:47
HH030087,1,262,4050948867421,19/07/11 09:47
HH030088,1,262,4050948867421,19/07/11 09:47
HH030089,1,262,4050948867490,19/07/11 09:47
HH030090,1,262,4050948867490,19/07/11 09:47
HH030091,1,262,4050948867490,19/07/11 09:47
HH030092,1,262,4050948864680,19/07/11 09:47
HH030093,1,262,4050948864697,19/07/11 09:48
HH030094,1,262,4050948864703,19/07/11 09:48
HH030095,1,262,4050948864680,19/07/11 09:48
HH030096,1,262,4050948864680,19/07/11 09:48
HH030097,1,262,4050948864680,19/07/11 09:48
HH030098,1,263,4050948866721,19/07/11 09:48
HH030099,1,263,4050948866714,19/07/11 09:48
HH030100,1,263,4050948866714,19/07/11 09:48
HH030101,1,263,4050948866714,19/07/11 09:48
HH030102,1,263,4050948866714,19/07/11 09:48
HH030103,1,263,4050948866721,19/07/11 09:49
HH030104,1,263,4050948866707,19/07/11 09:49
HH030105,1,263,4050948866790,19/07/11 09:49
HH030106,1,263,4050948866790,19/07/11 09:49
HH030107,1,263,4050948866790,19/07/11 09:49
HH030108,1,263,4050948866783,19/07/11 09:49
HH030109,1,263,4050948868978,19/07/11 09:49
HH030110,1,263,4050948863706,19/07/11 09:49
HH030111,1,263,4050948863676,19/07/11 09:49
HH030112,1,263,4050948863690,19/07/11 09:49
HH030113,1,263,4050948863690,19/07/11 09:49
HH030114,1,263,4050948863690,19/07/11 09:49
HH030115,1,263,4050948863713,19/07/11 09:49
HH030116,1,263,4050948863683,19/07/11 09:49
HH030117,1,263,4050948863683,19/07/11 09:49
HH030118,1,263,4050948863683,19/07/11 09:49
HH030119,1,264,4050948871633,19/07/11 09:49
HH030120,1,264,4050948871619,19/07/11 09:49
HH030121,1,264,4050948871619,19/07/11 09:49
HH030122,1,264,4050948871602,19/07/11 09:50
HH030123,1,264,4050948871626,19/07/11 09:50
HH030124,1,264,4050948871961,19/07/11 09:50
